chr7	99998448	100026214	ENSG00000078487	1.0	-	1215	7850	27766	0.2827199
chr22	41829495	41842626	ENSG00000183864	1.0	-	4991	10736	13131	0.8176072
chr1	244999024	245008359	ENSG00000203667	1.0	+	10981	9146	9335	0.9797536
chr12	49521564	49524779	ENSG00000123416	1.0	-	2455	2267	3215	0.7051322
chr19	40927498	40931531	ENSG00000197019	1.0	-	1828	3884	4033	0.9630548
chr17	80036213	80055807	ENSG00000169710	1.0	-	9967	19326	19594	0.9863223
chr16	31191831	31203127	ENSG00000089280	1.0	+	5283	10961	11296	0.9703435
chr19	34663809	34720420	ENSG00000257103	1.0	+	10374	52637	56611	0.9298016
chr21	43406939	43430095	ENSG00000173276	1.0	-	6317	22095	23156	0.9541804
chr7	104655026	104754808	ENSG00000005483	1.0	+	8594	90651	99782	0.9084905
chr16	30709930	30755602	ENSG00000080603	1.0	+	9518	39414	45672	0.8629795
chr1	225674536	225840443	ENSG00000154380	1.0	-	7847	130551	165907	0.7868927
chr9	140136065	140138159	ENSG00000188229	1.0	+	1575	1943	2094	0.9278892
chr1	226249952	226259702	ENSG00000163041	1.0	+	8122	8290	9750	0.8502564
chr22	39708886	39715993	ENSG00000100316	1.0	-	9168	6713	7107	0.9445617
chr5	177631908	177638164	ENSG00000197451	1.0	+	2561	6248	6256	0.9987212
chr22	42979726	43010567	ENSG00000100227	1.0	-	3204	25254	30841	0.8188450
chr19	2037469	2050842	ENSG00000099875	1.0	-	3323	13122	13373	0.9812309
chr6	86370709	86388050	ENSG00000203875	1.0	-	2984	15551	17341	0.8967764
chr6	36562545	36573377	ENSG00000112081	1.0	+	4751	10439	10832	0.9637186
chr16	89627465	89630950	ENSG00000167526	1.0	+	5170	3311	3485	0.9500718
chr3	9439699	9520924	ENSG00000168137	1.0	+	10400	75500	81225	0.9295168
chr19	34919657	34960853	ENSG00000126261	1.0	+	10174	37805	41196	0.9176862
chr19	32880955	32896065	ENSG00000267213	1.0	-	485	8550	15110	0.5658504
chr14	103800281	103811362	ENSG00000100664	1.0	+	7779	10862	11081	0.9802364
chr21	47879212	47989926	ENSG00000160305	1.0	+	2908	64836	110714	0.5856170
chr1	226170402	226186631	ENSG00000143751	1.0	-	2420	14820	16229	0.9131801
chr1	21069153	21113415	ENSG00000127483	1.0	-	7982	38930	44262	0.8795355
chr21	33043345	33103987	ENSG00000156304	1.0	-	5632	55695	60642	0.9184229
chr6	136578000	136610588	ENSG00000029363	1.0	-	6084	30721	32588	0.9427090
chr19	40825442	40854033	ENSG00000160392	1.0	-	1954	21787	28591	0.7620230
chr22	46463235	46465370	ENSG00000235159	1.0	-	1248	2135	2135	1.0000000
chr12	54624723	54673485	ENSG00000094916	1.0	-	4830	35464	48762	0.7272877
chr10	27399382	27443794	ENSG00000136758	1.0	-	7172	41170	44412	0.9270017
chr19	1576638	1592481	ENSG00000071655	1.0	-	5484	14677	15843	0.9264028
chr6	111196373	111216916	ENSG00000123505	1.0	+	4622	18521	20543	0.9015723
chr16	2787076	2802200	ENSG00000205913	1.0	-	1594	6149	15124	0.4065723
chr14	90863246	90874605	ENSG00000198668	1.0	+	5544	10661	11359	0.9385509
chr5	137087074	137089638	ENSG00000177733	1.0	-	1319	2564	2564	1.0000000
chr10	1095878	1178237	ENSG00000047056	1.0	+	7156	63488	82359	0.7708690
chr22	50354561	50357728	ENSG00000198355	1.0	+	4631	3167	3167	1.0000000
chr21	34876237	34915396	ENSG00000159131	1.0	-	11255	32495	39159	0.8298220
chr5	98265275	98330717	ENSG00000248489	1.0	+	2002	27475	65442	0.4198374
chr19	30191720	30205963	ENSG00000131943	1.0	-	938	10812	14243	0.7591097
chr6	89790870	89794879	ENSG00000146278	1.0	+	3366	3993	4009	0.9960090
chr2	85766688	85772403	ENSG00000168906	1.0	+	1168	4744	5715	0.8300962
chr15	72700118	72767108	ENSG00000261423	1.0	-	6979	16112	66990	0.2405135
chr7	155089886	155101945	ENSG00000186480	1.0	+	5887	11794	12059	0.9780247
chr6	108881438	109005977	ENSG00000118689	1.0	+	9228	99337	124539	0.7976377
chr10	3818187	3827072	ENSG00000067082	1.0	-	3049	8873	8885	0.9986494
chr1	226418849	226497169	ENSG00000183814	1.0	-	8322	60582	78320	0.7735189
chr19	33864636	33873592	ENSG00000153879	1.0	+	3489	8838	8956	0.9868245
chr5	89688077	89705202	ENSG00000153140	1.0	-	1363	8089	17125	0.4723504
chr1	235294497	235324371	ENSG00000188739	1.0	-	2685	23669	29874	0.7922943
chr1	150547031	150551665	ENSG00000143384	1.0	-	2452	4634	4634	1.0000000
chr21	48055479	48085036	ENSG00000160310	1.0	+	3013	16349	29557	0.5531346
chr1	234740014	234744870	ENSG00000168264	1.0	-	2572	4847	4856	0.9981466
chr1	35641978	35658348	ENSG00000116560	1.0	-	7004	15992	16370	0.9769090
